ymd,jyo,racenum,age,joken,track,kyori,baba,tosu,tan,fuk1,fuk2,fuk3,umaren,umatan,3renpuku,3rentan,wide1,wide2,wide3,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,winrate,topodds
20250113,7,11,1,999,11,1600,1,15,470,210,160,890,950,1790,22830,75000,490,5240,3780,14,4,2,1,15,10,6,11,13,7,5,9,8,12,3,0,0,0,0.196,73.1,
20250113,6,3,1,703,24,1800,1,16,710,240,910,270,11980,16390,29780,169770,2780,1080,4620,4,1,8,10,7,3,6,14,11,12,2,13,9,15,16,5,0,0,0.190,3.9,
20250113,6,6,1,703,18,2200,1,17,380,150,150,200,850,1620,1900,8020,330,460,530,3,9,1,6,4,17,2,13,10,15,8,7,5,12,11,14,16,0,0.181,7.0,
20250113,6,7,1,5,18,1200,1,11,440,140,120,160,500,930,790,3770,210,350,270,3,2,7,5,1,4,11,6,8,9,10,0,0,0,0,0,0,0,0.296,5.2,
20250113,6,8,2,5,24,1800,1,14,340,150,160,990,530,1030,6230,22200,290,1980,2310,1,9,2,10,8,4,11,5,7,12,13,6,3,14,0,0,0,0,0.313,3.4,
20250113,6,9,2,10,24,2400,1,16,480,160,200,260,1250,2250,2790,14580,420,830,780,9,2,1,4,5,3,14,16,7,6,12,8,13,15,11,10,0,0,0.167,4.4,
20250113,6,10,2,16,24,1200,1,16,500,220,1440,680,13560,22200,75180,278930,4020,2110,13590,1,13,14,6,5,15,4,16,10,7,3,11,2,9,12,8,0,0,0.204,5.0,
20250113,7,10,2,16,23,1800,1,16,230,150,260,630,1110,1680,8250,23170,570,1220,2650,1,2,6,4,10,13,8,7,3,5,9,11,0,14,12,15,0,0,0.251,2.3,
20250113,6,11,2,999,18,1600,1,16,250,140,240,250,1290,1920,3200,11720,510,550,1010,4,11,3,1,2,5,12,9,15,8,7,13,14,16,6,10,0,0,0.222,4.4,
20250113,6,12,2,5,18,1600,1,16,580,210,260,160,2720,4050,4220,24650,910,530,800,1,2,7,13,16,4,3,5,10,15,8,12,9,6,14,11,0,0,0.218,5.8,
20250113,7,1,1,703,23,1800,1,16,2700,870,3390,1480,111670,212830,944220,7098460,26110,16180,38830,5,8,4,9,14,7,15,6,11,1,3,12,13,2,10,16,0,0,0.092,7.6,
20250113,7,2,1,703,23,1400,1,16,140,110,370,250,2010,2200,5350,18160,730,440,3070,1,3,4,6,13,10,9,7,12,2,15,11,5,8,16,14,0,0,0.380,1.4,
20250113,7,3,1,703,23,1900,1,16,1060,290,180,360,2330,5550,11860,63090,890,2180,1110,5,4,7,2,13,11,15,16,3,14,1,9,12,6,10,8,0,0,0.229,6.8,
